,RunId,iteration,Step,width,height,density,Fine,On Fire,Burned Out,Velocidade do Alastramento do Fogo,Largura da Floresta,Profundidade da Floresta
0,0,0,3,20,20,150,0,26,374,142,100,100
1,1,1,2,20,20,150,4,52,344,215,100,100
2,2,2,3,20,20,150,0,6,394,107,100,100
3,3,3,2,20,20,150,3,65,332,189,100,100
4,4,4,3,20,20,150,0,6,394,121,100,100
5,5,5,3,20,20,150,0,3,397,106,100,100
6,6,6,2,20,20,150,0,36,364,195,100,100
7,7,7,2,20,20,150,1,79,320,203,100,100
8,8,8,2,20,20,150,6,89,305,222,100,100
9,9,9,3,20,20,150,0,7,393,149,100,100
10,10,10,3,20,20,150,0,3,397,96,100,100
11,11,11,3,20,20,150,0,4,396,110,100,100
12,12,12,2,20,20,150,5,78,317,191,100,100
13,13,13,2,20,20,150,1,79,320,225,100,100
14,14,14,2,20,20,150,2,73,325,200,100,100
15,15,15,2,20,20,150,7,84,309,196,100,100
16,16,16,3,20,20,150,0,1,399,95,100,100
17,17,17,3,20,20,150,0,7,393,141,100,100
18,18,18,3,20,20,150,0,3,397,79,100,100
19,19,19,2,20,20,150,0,71,329,221,100,100
20,20,20,2,20,20,150,0,77,323,203,100,100
21,21,21,3,20,20,150,0,1,399,100,100,100
22,22,22,3,20,20,150,0,6,394,109,100,100
23,23,23,3,20,20,150,0,6,394,143,100,100
24,24,24,2,20,20,150,6,95,299,187,100,100
25,25,25,3,20,20,150,0,4,396,118,100,100
26,26,26,3,20,20,150,0,27,373,153,100,100
27,27,27,3,20,20,150,0,5,395,127,100,100
28,28,28,3,20,20,150,0,5,395,113,100,100
29,29,29,3,20,20,150,0,10,390,128,100,100
30,30,30,2,20,20,150,6,79,315,202,100,100
31,31,31,3,20,20,150,0,10,390,136,100,100
32,32,32,3,20,20,150,0,8,392,122,100,100
33,33,33,3,20,20,150,0,22,378,125,100,100
34,34,34,3,20,20,150,0,1,399,83,100,100
35,35,35,2,20,20,150,3,60,337,220,100,100
36,36,36,2,20,20,150,13,82,305,211,100,100
37,37,37,3,20,20,150,0,1,399,109,100,100
38,38,38,2,20,20,150,4,69,327,212,100,100
39,39,39,3,20,20,150,0,2,398,106,100,100
40,40,40,3,20,20,150,0,4,396,102,100,100
41,41,41,3,20,20,150,0,5,395,97,100,100
42,42,42,2,20,20,150,0,62,338,198,100,100
43,43,43,3,20,20,150,0,9,391,128,100,100
44,44,44,3,20,20,150,0,1,399,105,100,100
45,45,45,3,20,20,150,0,11,389,125,100,100
46,46,46,2,20,20,150,4,84,312,227,100,100
47,47,47,3,20,20,150,0,8,392,108,100,100
48,48,48,3,20,20,150,0,3,397,108,100,100
49,49,49,3,20,20,150,0,3,397,106,100,100
50,50,50,3,20,20,150,0,4,396,122,100,100
51,51,51,3,20,20,150,0,5,395,94,100,100
52,52,52,3,20,20,150,0,3,397,103,100,100
53,53,53,3,20,20,150,0,4,396,105,100,100
54,54,54,3,20,20,150,0,2,398,86,100,100
55,55,55,3,20,20,150,0,1,399,62,100,100
56,56,56,2,20,20,150,1,73,326,208,100,100
57,57,57,3,20,20,150,0,16,384,136,100,100
58,58,58,3,20,20,150,0,3,397,133,100,100
59,59,59,3,20,20,150,0,3,397,94,100,100
60,60,60,3,20,20,150,0,1,399,75,100,100
61,61,61,3,20,20,150,0,5,395,89,100,100
62,62,62,3,20,20,150,0,9,391,117,100,100
63,63,63,3,20,20,150,0,3,397,120,100,100
64,64,64,3,20,20,150,0,6,394,98,100,100
65,65,65,3,20,20,150,0,3,397,107,100,100
66,66,66,3,20,20,150,0,6,394,124,100,100
67,67,67,3,20,20,150,0,4,396,108,100,100
68,68,68,3,20,20,150,0,11,389,116,100,100
69,69,69,3,20,20,150,0,6,394,103,100,100
70,70,70,3,20,20,150,0,4,396,119,100,100
71,71,71,3,20,20,150,0,2,398,117,100,100
72,72,72,2,20,20,150,0,71,329,204,100,100
73,73,73,3,20,20,150,0,4,396,121,100,100
74,74,74,3,20,20,150,0,2,398,99,100,100
75,75,75,3,20,20,150,0,1,399,81,100,100
76,76,76,3,20,20,150,0,1,399,83,100,100
77,77,77,3,20,20,150,0,7,393,127,100,100
78,78,78,3,20,20,150,0,2,398,67,100,100
79,79,79,2,20,20,150,0,51,349,223,100,100
80,80,80,3,20,20,150,0,3,397,112,100,100
81,81,81,2,20,20,150,1,59,340,203,100,100
82,82,82,2,20,20,150,17,82,301,189,100,100
83,83,83,3,20,20,150,0,4,396,116,100,100
84,84,84,3,20,20,150,0,6,394,128,100,100
85,85,85,3,20,20,150,0,1,399,83,100,100
86,86,86,3,20,20,150,0,16,384,143,100,100
87,87,87,3,20,20,150,0,1,399,87,100,100
88,88,88,2,20,20,150,7,62,331,204,100,100
89,89,89,3,20,20,150,0,7,393,133,100,100
90,90,90,2,20,20,150,2,77,321,204,100,100
91,91,91,2,20,20,150,2,51,347,206,100,100
92,92,92,3,20,20,150,0,1,399,78,100,100
93,93,93,2,20,20,150,19,100,281,165,100,100
94,94,94,3,20,20,150,0,2,398,87,100,100
95,95,95,3,20,20,150,0,4,396,111,100,100
96,96,96,3,20,20,150,0,3,397,115,100,100
97,97,97,3,20,20,150,0,1,399,77,100,100
98,98,98,3,20,20,150,0,5,395,133,100,100
99,99,99,2,20,20,150,1,68,331,213,100,100
