,RunId,iteration,Step,width,height,density,Fine,On Fire,Burned Out,Velocidade do Alastramento do Fogo,Largura da Floresta,Profundidade da Floresta
0,0,0,2,20,20,10,2,67,331,206,100,100
1,1,0,3,20,20,20,0,6,394,125,100,100
2,2,0,2,20,20,30,6,67,327,227,100,100
3,3,0,3,20,20,40,0,3,397,128,100,100
4,4,0,3,20,20,50,0,14,386,114,100,100
5,5,0,3,20,20,60,0,1,399,97,100,100
6,6,0,3,20,20,70,0,12,388,111,100,100
7,7,0,3,20,20,80,0,3,397,89,100,100
8,8,0,3,20,20,90,0,1,399,77,100,100
9,9,0,3,20,20,100,0,12,388,125,100,100
10,10,0,3,20,20,110,0,4,396,126,100,100
11,11,0,3,20,20,120,0,3,397,98,100,100
12,12,0,3,20,20,130,0,13,387,136,100,100
13,13,0,3,20,20,140,0,7,393,102,100,100
14,14,1,3,20,20,10,0,13,387,87,100,100
15,15,1,2,20,20,20,18,92,290,175,100,100
16,16,1,3,20,20,30,0,2,398,89,100,100
17,17,1,3,20,20,40,0,6,394,98,100,100
18,18,1,2,20,20,50,9,60,331,175,100,100
19,19,1,3,20,20,60,0,15,385,142,100,100
20,20,1,3,20,20,70,0,24,376,131,100,100
21,21,1,3,20,20,80,0,8,392,108,100,100
22,22,1,3,20,20,90,0,8,392,97,100,100
23,23,1,3,20,20,100,0,3,397,100,100,100
24,24,1,3,20,20,110,0,1,399,63,100,100
25,25,1,3,20,20,120,0,3,397,104,100,100
26,26,1,2,20,20,130,0,45,355,241,100,100
27,27,1,2,20,20,140,1,68,331,206,100,100
28,28,2,2,20,20,10,5,94,301,206,100,100
29,29,2,2,20,20,20,0,67,333,218,100,100
30,30,2,3,20,20,30,0,1,399,93,100,100
31,31,2,3,20,20,40,0,3,397,106,100,100
32,32,2,3,20,20,50,0,3,397,107,100,100
33,33,2,3,20,20,60,0,2,398,100,100,100
34,34,2,3,20,20,70,0,9,391,128,100,100
35,35,2,3,20,20,80,0,8,392,107,100,100
36,36,2,3,20,20,90,0,1,399,85,100,100
37,37,2,2,20,20,100,5,77,318,203,100,100
38,38,2,2,20,20,110,10,81,309,198,100,100
39,39,2,3,20,20,120,0,1,399,118,100,100
40,40,2,3,20,20,130,0,3,397,70,100,100
41,41,2,3,20,20,140,0,1,399,45,100,100
42,42,3,2,20,20,10,8,75,317,214,100,100
43,43,3,3,20,20,20,0,4,396,90,100,100
44,44,3,2,20,20,30,13,67,320,202,100,100
45,45,3,3,20,20,40,0,1,399,117,100,100
46,46,3,3,20,20,50,0,1,399,74,100,100
47,47,3,3,20,20,60,0,1,399,86,100,100
48,48,3,3,20,20,70,0,2,398,113,100,100
49,49,3,2,20,20,80,0,79,321,197,100,100
50,50,3,2,20,20,90,1,84,315,207,100,100
51,51,3,2,20,20,100,3,68,329,222,100,100
